id;date;x;y
24;02/06/2019 16:00;47.23488998;-2.392329931
25;02/06/2019 16:00;47.22776031;-2.389810085
26;02/06/2019 16:00;47.23180008;-2.379400015
27;02/06/2019 16:00;47.22999954;-2.393399954
28;02/06/2019 16:00;47.22698975;-2.380589962
29;02/06/2019 16:00;47.22750092;-2.382499933
3;02/06/2019 16:00;47.22914886;-2.379909992
31;02/06/2019 16:00;47.23883057;-2.387680054
32;02/06/2019 16:00;47.24261093;-2.373889923
33;02/06/2019 16:00;47.22900009;-2.386600018
34;02/06/2019 16:00;47.23320007;-2.375299931
35;02/06/2019 16:00;47.23514175;-2.385750055
36;02/06/2019 16:00;47.23270035;-2.373600006
38;02/06/2019 16:00;47.20729828;-2.396199942
39;02/06/2019 16:00;47.24079895;-2.374599934
4;02/06/2019 16:00;47.22970963;-2.391900063
40;02/06/2019 16:00;47.22859955;-2.390269995
41;02/06/2019 16:00;47.23799896;-2.378700018
43;02/06/2019 16:00;47.23585892;-2.402960062
44;02/06/2019 16:00;47.23860931;-2.364180088
45;02/06/2019 16:00;47.23704147;-2.374650002
46;02/06/2019 16:00;47.24272156;-2.375439882
47;02/06/2019 16:00;47.22610092;-2.380320072
48;02/06/2019 16:00;47.22755814;-2.375469923
5;02/06/2019 16:00;47.23649979;-2.386100054
6;02/06/2019 16:00;47.23981857;-2.373929977
7;02/06/2019 16:00;47.23168182;-2.386569977
8;02/06/2019 16:00;47.23263168;-2.388170004
9;02/06/2019 16:00;47.22883987;-2.383169889
16;02/06/2019 16:00;47.23020172;-2.382100105
30;02/06/2019 16:00;47.2285881;-2.379029989
42;02/06/2019 16:00;47.23300934;-2.394910097
1;02/06/2019 16:05;47.23377991;-2.382839918
10;02/06/2019 16:05;47.22710037;-2.387099981
11;02/06/2019 16:05;47.22689819;-2.388829947
12;02/06/2019 16:05;47.2276001;-2.375099897
13;02/06/2019 16:05;47.23020172;-2.371299982
14;02/06/2019 16:05;47.23509979;-2.385299921
15;02/06/2019 16:05;47.23141098;-2.38993001
17;02/06/2019 16:05;47.23740005;-2.393300056
18;02/06/2019 16:05;47.23389816;-2.389800072
19;02/06/2019 16:05;47.22924042;-2.381330013
2;02/06/2019 16:05;47.23239899;-2.38560009
21;02/06/2019 16:05;47.2364006;-2.3743999
22;02/06/2019 16:05;47.23577118;-2.387079954
23;02/06/2019 16:05;47.23611832;-2.385770082
25;02/06/2019 16:05;47.23163986;-2.392549992
26;02/06/2019 16:05;47.22779846;-2.382600069
27;02/06/2019 16:05;47.22949982;-2.383399963
